date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:00	84999/84999	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:00%20GMT	https://app.usocialbot.com/home/terms_use	app.usocialbot.com/home/terms_use.html	(from https://app.usocialbot.com/home/sign_up)
03:40:02	816926/816926	---M--	200	added ('OK')	image/svg+xml	etag:%225c93651c-c771e%22	https://app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-solid-900.svg	app.usocialbot.com/assets/modules/fontawesome/webfonts/fa-solid-900.svg	(from https://app.usocialbot.com/assets/modules/fontawesome/css/all.min.css)
03:40:03	7708/7708	---M--	200	added ('OK')	text/css	etag:%225a80e4b4-1e1c%22	https://app.usocialbot.com/assets/site_new/css/normalize.css	app.usocialbot.com/assets/site_new/css/normalize.css	(from https://app.usocialbot.com/home/terms_use)
03:40:03	79571/79571	---M--	200	added ('OK')	text/css	etag:%225a80e4b2-136d3%22	https://app.usocialbot.com/assets/site_new/css/animate.css	app.usocialbot.com/assets/site_new/css/animate.css	(from https://app.usocialbot.com/home/terms_use)
03:40:04	2069/2069	---M--	200	added ('OK')	text/css	etag:%225a80e4b4-815%22	https://app.usocialbot.com/assets/site_new/css/modal-video.min.css	app.usocialbot.com/assets/site_new/css/modal-video.min.css	(from https://app.usocialbot.com/home/terms_use)
03:40:05	9127/9127	---M--	200	added ('OK')	text/css	etag:%225bcaa73a-23a7%22	https://app.usocialbot.com/assets/site_new/css/stellarnav.min.css	app.usocialbot.com/assets/site_new/css/stellarnav.min.css	(from https://app.usocialbot.com/home/terms_use)
03:40:06	4214/4214	---M--	200	added ('OK')	text/css	etag:%225a80e4b4-1076%22	https://app.usocialbot.com/assets/site_new/css/owl.carousel.css	app.usocialbot.com/assets/site_new/css/owl.carousel.css	(from https://app.usocialbot.com/home/terms_use)
03:40:07	1776/1776	---M--	200	added ('OK')	text/css	etag:%225a8f6c48-6f0%22	https://app.usocialbot.com/assets/site_new/css/slick.css	app.usocialbot.com/assets/site_new/css/slick.css	(from https://app.usocialbot.com/home/terms_use)
03:40:09	121201/121201	---M--	200	added ('OK')	text/css	etag:%225a80e4b2-1d971%22	https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css	app.usocialbot.com/assets/site_new/css/bootstrap.min.css	(from https://app.usocialbot.com/home/terms_use)
03:40:09	29063/29063	---M--	200	added ('OK')	text/css	etag:%225a80e4b2-7187%22	https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css	app.usocialbot.com/assets/site_new/css/font-awesome.min.css	(from https://app.usocialbot.com/home/terms_use)
03:40:10	1095/1095	---M--	200	added ('OK')	text/css	etag:%225a89d9dc-447%22	https://app.usocialbot.com/assets/site_new/css/material-icons.css	app.usocialbot.com/assets/site_new/css/material-icons.css	(from https://app.usocialbot.com/home/terms_use)
03:40:11	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:11%20GMT	https://app.usocialbot.com/home/assets/site_new/img/home/home-wave.svg	app.usocialbot.com/home/assets/site_new/img/home/home-wave.html	(from https://app.usocialbot.com/home/terms_use)
03:40:12	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:12%20GMT	https://app.usocialbot.com/home/assets/site_new/img/slider/slide-1.jpg	app.usocialbot.com/home/assets/site_new/img/slider/slide-1.html	(from https://app.usocialbot.com/home/terms_use)
03:40:13	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:13%20GMT	https://app.usocialbot.com/home/assets/site_new/img/slider/slide_1.jpg	app.usocialbot.com/home/assets/site_new/img/slider/slide_1.html	(from https://app.usocialbot.com/home/terms_use)
03:40:14	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:14%20GMT	https://app.usocialbot.com/home/assets/site_new/img/slider/slide_2.jpg	app.usocialbot.com/home/assets/site_new/img/slider/slide_2.html	(from https://app.usocialbot.com/home/terms_use)
03:40:15	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:15%20GMT	https://app.usocialbot.com/home/assets/site_new/img/mockups/app-area-mockup.png	app.usocialbot.com/home/assets/site_new/img/mockups/app-area-mockup.html	(from https://app.usocialbot.com/home/terms_use)
03:40:16	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:16%20GMT	https://app.usocialbot.com/home/assets/site_new/img/video/video-area-bg.jpg	app.usocialbot.com/home/assets/site_new/img/video/video-area-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:17	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:17%20GMT	https://app.usocialbot.com/home/assets/site_new/img/screenshot/screenshot-mobile-mockup.png	app.usocialbot.com/home/assets/site_new/img/screenshot/screenshot-mobile-mockup.html	(from https://app.usocialbot.com/home/terms_use)
03:40:18	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:18%20GMT	https://app.usocialbot.com/home/assets/site_new/img/mockups/hand-mockup.png	app.usocialbot.com/home/assets/site_new/img/mockups/hand-mockup.html	(from https://app.usocialbot.com/home/terms_use)
03:40:19	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:19%20GMT	https://app.usocialbot.com/home/assets/site_new/img/mockups/map-mockup.png	app.usocialbot.com/home/assets/site_new/img/mockups/map-mockup.html	(from https://app.usocialbot.com/home/terms_use)
03:40:20	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:20%20GMT	https://app.usocialbot.com/home/assets/site_new/img/intro-bg.png	app.usocialbot.com/home/assets/site_new/img/intro-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:21	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:21%20GMT	https://app.usocialbot.com/home/assets/site_new/img/promo/promo-mockup.png	app.usocialbot.com/home/assets/site_new/img/promo/promo-mockup.html	(from https://app.usocialbot.com/home/terms_use)
03:40:22	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:22%20GMT	https://app.usocialbot.com/home/assets/site_new/img/video/video-area-bg-2.jpg	app.usocialbot.com/home/assets/site_new/img/video/video-area-bg-2.html	(from https://app.usocialbot.com/home/terms_use)
03:40:23	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:23%20GMT	https://app.usocialbot.com/home/assets/site_new/img/subscriber/subscriber-area-bg.jpg	app.usocialbot.com/home/assets/site_new/img/subscriber/subscriber-area-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:24	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:24%20GMT	https://app.usocialbot.com/home/assets/site_new/img/video/video-bg-3.jpg	app.usocialbot.com/home/assets/site_new/img/video/video-bg-3.html	(from https://app.usocialbot.com/home/terms_use)
03:40:25	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:25%20GMT	https://app.usocialbot.com/home/assets/site_new/img/footer/footer-green-bg.jpg	app.usocialbot.com/home/assets/site_new/img/footer/footer-green-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:26	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:26%20GMT	https://app.usocialbot.com/home/assets/site_new/img/team/member-bg.png	app.usocialbot.com/home/assets/site_new/img/team/member-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:27	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:27%20GMT	https://app.usocialbot.com/home/assets/site_new/img/blog/blog-page-bg.jpg	app.usocialbot.com/home/assets/site_new/img/blog/blog-page-bg.html	(from https://app.usocialbot.com/home/terms_use)
03:40:28	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:28%20GMT	https://app.usocialbot.com/home/assets/site_new/img/widgets-line.png	app.usocialbot.com/home/assets/site_new/img/widgets-line.html	(from https://app.usocialbot.com/home/terms_use)
03:40:29	13306/13306	---M--	200	added ('OK')	text/css	etag:%225bdea8ea-33fa%22	https://app.usocialbot.com/assets/site_new/css/responsive.css	app.usocialbot.com/assets/site_new/css/responsive.css	(from https://app.usocialbot.com/home/terms_use)
03:40:30	15514/15514	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-3c9a%22	https://app.usocialbot.com/assets/site_new/js/vendor/modernizr-2.8.3.min.js	app.usocialbot.com/assets/site_new/js/vendor/modernizr-2.8.3.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:31	4904/4904	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:31%20GMT	https://app.usocialbot.com/home/login	app.usocialbot.com/home/login.html	(from https://app.usocialbot.com/home/terms_use)
03:40:32	83328/83328	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:32%20GMT	https://app.usocialbot.com/blog	app.usocialbot.com/blog.html	(from https://app.usocialbot.com/home/terms_use)
03:40:33	82981/82981	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:33%20GMT	https://app.usocialbot.com/home/privacy_policy	app.usocialbot.com/home/privacy_policy.html	(from https://app.usocialbot.com/home/terms_use)
03:40:34	84080/84080	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:34%20GMT	https://app.usocialbot.com/home/gdpr	app.usocialbot.com/home/gdpr.html	(from https://app.usocialbot.com/home/terms_use)
03:40:36	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-17b8b%22	https://app.usocialbot.com/assets/site_new/js/vendor/jquery-1.12.4.min.js	app.usocialbot.com/assets/site_new/js/vendor/jquery-1.12.4.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:37	37046/37046	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-90b6%22	https://app.usocialbot.com/assets/site_new/js/vendor/bootstrap.min.js	app.usocialbot.com/assets/site_new/js/vendor/bootstrap.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:37	9335/9335	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-2477%22	https://app.usocialbot.com/assets/site_new/js/vendor/jquery.easing.1.3.js	app.usocialbot.com/assets/site_new/js/vendor/jquery.easing.1.3.js	(from https://app.usocialbot.com/home/terms_use)
03:40:38	7200/7200	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-1c20%22	https://app.usocialbot.com/assets/site_new/js/vendor/jquery-migrate-1.2.1.min.js	app.usocialbot.com/assets/site_new/js/vendor/jquery-migrate-1.2.1.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:39	4228/4228	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-1084%22	https://app.usocialbot.com/assets/site_new/js/vendor/jquery.appear.js	app.usocialbot.com/assets/site_new/js/vendor/jquery.appear.js	(from https://app.usocialbot.com/home/terms_use)
03:40:41	53639/53639	---M--	200	added ('OK')	application/javascript	etag:%225bc40eca-d187%22	https://app.usocialbot.com/assets/site_new/js/owl.carousel.min.js	app.usocialbot.com/assets/site_new/js/owl.carousel.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:41	42863/42863	---M--	200	added ('OK')	application/javascript	etag:%225a8f6c4c-a76f%22	https://app.usocialbot.com/assets/site_new/js/slick.min.js	app.usocialbot.com/assets/site_new/js/slick.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:42	23276/23276	---M--	200	added ('OK')	application/javascript	etag:%225a80e4b8-5aec%22	https://app.usocialbot.com/assets/site_new/js/stellar.js	app.usocialbot.com/assets/site_new/js/stellar.js	(from https://app.usocialbot.com/home/terms_use)
03:40:43	8427/8427	---M--	200	added ('OK')	application/javascript	etag:%225a80e4ba-20eb%22	https://app.usocialbot.com/assets/site_new/js/wow.min.js	app.usocialbot.com/assets/site_new/js/wow.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:44	6297/6297	---M--	200	added ('OK')	application/javascript	etag:%225a80e4b6-1899%22	https://app.usocialbot.com/assets/site_new/js/jquery-modal-video.min.js	app.usocialbot.com/assets/site_new/js/jquery-modal-video.min.js	(from https://app.usocialbot.com/home/terms_use)
